"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","development","do_below_thermo_ppm","lake_area_ha","max_depth_min_m","temp_surface_min_c","LAT_DD","LONG_DD","url_front","url_back"
58687317,"16-82","SILVER","CHEBOYGAN",14,"August",1942,NA,0,29.543,27.431,21.8,45.26943,-84.63288,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_029.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_030.jpg"
58687318,"16-82","SILVER","CHEBOYGAN",14,"August",1942,NA,2.9,29.543,27.431,21.111,45.26943,-84.63288,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_031.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_032.jpg"
58687319,"16-142","WEBER","CHEBOYGAN",22,"July",1943,NA,NA,12.546,12.191,22.222,45.29804,-84.72426,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_027.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_028.jpg"
58687320,"16-142","WEBER","CHEBOYGAN",22,"July",1943,NA,9.5,NA,NA,22.222,45.29804,-84.72426,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_029.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_030.jpg"
58687321,"16-142","WEBER","CHEBOYGAN",22,"July",1943,NA,11.2,NA,NA,22.222,45.29804,-84.72426,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_029.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_030.jpg"
58687322,"16-142","WEBER","CHEBOYGAN",22,"July",1943,NA,NA,12.546,12.191,22.222,45.29804,-84.72426,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_027.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_028.jpg"
58687323,NA,"ANDRUS","CHIPPEWA",26,"August",1948,NA,2.4,12.141,7.62,23.9,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Andrus_020.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Andrus_021.jpg"
58687324,"17-261","ARBUTUS","CHIPPEWA",13,"August",1969,NA,NA,9.713,1.829,22.222,46.3161,-84.91593,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Arbutus_004.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Arbutus_005.jpg"
58687325,NA,"ANDRUS","CHIPPEWA",2,"June",1954,NA,NA,14.164,7.62,13.333,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Andrus_022.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Andrus_023.jpg"
58687326,"17-209","CARP","CHIPPEWA",1,"July",1971,NA,NA,226.629,10.667,22.778,46.18332,-85.04177,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Carp_(Big_Trout)_035.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Carp_(Big_Trout)_036.jpg"
58687327,"17-47","CARIBOU","CHIPPEWA",8,"July",1953,"40",NA,333.873,6.096,16.667,45.99582,-83.99454,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Caribou_030.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Caribou_031.jpg"
58687328,"17-240","DUKES","CHIPPEWA",21,"September",1942,NA,NA,3.44,16.458,16.667,46.26138,-84.44177,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Dukes_025.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Dukes_026.jpg"
58687329,"17-211","FRENCHMAN'S","CHIPPEWA",7,"July",1947,NA,NA,89.033,8.382,21.6,46.1836,-85.01565,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Frenchman's_029.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Frenchman's_030.jpg"
58687330,"17-240","DUKES","CHIPPEWA",6,"July",1950,NA,NA,3.764,15.849,23.889,46.26138,-84.44177,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Dukes_027.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Dukes_028.jpg"
58687331,"17-209","CARP","CHIPPEWA",3,"July",1947,NA,NA,226.629,10.667,22,46.18332,-85.04177,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Carp_(Big_Trout)_033.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Carp_(Big_Trout)_034.jpg"
58687332,"17-211","FRENCHMAN'S","CHIPPEWA",1,"July",1971,NA,NA,89.033,6.096,23.333,46.1836,-85.01565,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Frenchman's_031.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Frenchman's_032.jpg"
58687333,"17-331","HIGHBANKS","CHIPPEWA",11,"October",1949,NA,NA,7.568,12.191,15,46.36443,-84.86677,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Highbanks_057.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Highbanks_058.jpg"
